datetime_tdb,jd_tdb,longitude_deg,sign
2025-Jul-14 00:00:00.0000 TDB,2460870.50000,239.830926,Scorpio
2025-Aug-30 00:00:00.0000 TDB,2460917.50000,209.758715,Libra
2025-Oct-27 00:00:00.0000 TDB,2460975.50000,179.539700,Virgo
2025-Dec-07 00:00:00.0000 TDB,2461016.50000,149.138134,Leo
2026-Jan-01 00:00:00.0000 TDB,2461041.50000,119.342001,Cancer
2026-Feb-02 00:00:00.0000 TDB,2461073.50000,89.732433,Gemini
