# YYYY MM DD HHMM  Lon(deg)  Lat(deg)  Dist(AU)
2016 05 06 0000  293.268266  2.406618  116.623050
2016 05 07 0000  293.265017  2.406963  116.573715
2016 05 08 0000  293.261632  2.407305  116.524496
2016 05 09 0000  293.258114  2.407646  116.475398
2016 05 10 0000  293.254462  2.407984  116.426427
2016 05 11 0000  293.250680  2.408320  116.377586
2016 05 12 0000  293.246767  2.408653  116.328880
2016 05 13 0000  293.242724  2.408984  116.280314
2016 05 14 0000  293.238554  2.409313  116.231890
2016 05 15 0000  293.234258  2.409638  116.183614
2016 05 16 0000  293.229836  2.409961  116.135490
2016 05 17 0000  293.225289  2.410281  116.087520
2016 05 18 0000  293.220620  2.410597  116.039710
2016 05 19 0000  293.215829  2.410911  115.992063
2016 05 20 0000  293.210918  2.411221  115.944581
2016 05 21 0000  293.205888  2.411528  115.897270
2016 05 22 0000  293.200741  2.411832  115.850133
2016 05 23 0000  293.195476  2.412132  115.803173
2016 05 24 0000  293.190097  2.412428  115.756394
2016 05 25 0000  293.184604  2.412721  115.709799
2016 05 26 0000  293.178999  2.413010  115.663392
2016 05 27 0000  293.173282  2.413295  115.617176
2016 05 28 0000  293.167456  2.413577  115.571156
2016 05 29 0000  293.161521  2.413854  115.525334
2016 05 30 0000  293.155479  2.414127  115.479714
2016 05 31 0000  293.149332  2.414397  115.434301
2016 06 01 0000  293.143081  2.414662  115.389096
2016 06 02 0000  293.136727  2.414923  115.344105
2016 06 03 0000  293.130273  2.415179  115.299331
2016 06 04 0000  293.123721  2.415431  115.254778
2016 06 05 0000  293.117071  2.415679  115.210449
2016 06 06 0000  293.110326  2.415922  115.166347
2016 06 07 0000  293.103489  2.416161  115.122476
2016 06 08 0000  293.096561  2.416395  115.078838
2016 06 09 0000  293.089544  2.416625  115.035437
2016 06 10 0000  293.082440  2.416849  114.992275
2016 06 11 0000  293.075252  2.417069  114.949355
2016 06 12 0000  293.067981  2.417284  114.906678
2016 06 13 0000  293.060631  2.417493  114.864248
2016 06 14 0000  293.053202  2.417698  114.822067
2016 06 15 0000  293.045696  2.417897  114.780136
2016 06 16 0000  293.038117  2.418091  114.738458
2016 06 17 0000  293.030466  2.418280  114.697035
2016 06 18 0000  293.022745  2.418464  114.655868
2016 06 19 0000  293.014956  2.418642  114.614960
2016 06 20 0000  293.007101  2.418815  114.574312
2016 06 21 0000  292.999182  2.418982  114.533926
2016 06 22 0000  292.991201  2.419144  114.493804
2016 06 23 0000  292.983161  2.419300  114.453948
2016 06 24 0000  292.975063  2.419451  114.414359
2016 06 25 0000  292.966909  2.419596  114.375039
2016 06 26 0000  292.958701  2.419735  114.335990
2016 06 27 0000  292.950443  2.419869  114.297214
2016 06 28 0000  292.942134  2.419997  114.258713
2016 06 29 0000  292.933779  2.420119  114.220487
2016 06 30 0000  292.925379  2.420236  114.182540
2016 07 01 0000  292.916936  2.420346  114.144873
2016 07 02 0000  292.908454  2.420451  114.107487
2016 07 03 0000  292.899933  2.420550  114.070384
2016 07 04 0000  292.891378  2.420643  114.033566
2016 07 05 0000  292.882791  2.420731  113.997032
2016 07 06 0000  292.874173  2.420812  113.960785
2016 07 07 0000  292.865529  2.420887  113.924824
2016 07 08 0000  292.856859  2.420956  113.889151
2016 07 09 0000  292.848168  2.421019  113.853766
2016 07 10 0000  292.839458  2.421077  113.818669
2016 07 11 0000  292.830730  2.421128  113.783861
2016 07 12 0000  292.821988  2.421172  113.749340
2016 07 13 0000  292.813234  2.421211  113.715109
2016 07 14 0000  292.804470  2.421244  113.681165
2016 07 15 0000  292.795700  2.421270  113.647510
2016 07 16 0000  292.786924  2.421290  113.614142
2016 07 17 0000  292.778146  2.421304  113.581063
2016 07 18 0000  292.769369  2.421312  113.548270
2016 07 19 0000  292.760593  2.421313  113.515765
2016 07 20 0000  292.751822  2.421309  113.483547
2016 07 21 0000  292.743059  2.421298  113.451615
2016 07 22 0000  292.734304  2.421281  113.419968
2016 07 23 0000  292.725561  2.421258  113.388608
2016 07 24 0000  292.716831  2.421229  113.357533
2016 07 25 0000  292.708118  2.421193  113.326743
2016 07 26 0000  292.699423  2.421152  113.296237
2016 07 27 0000  292.690750  2.421105  113.266016
2016 07 28 0000  292.682099  2.421051  113.236079
2016 07 29 0000  292.673475  2.420992  113.206425
2016 07 30 0000  292.664879  2.420926  113.177054
2016 07 31 0000  292.656315  2.420855  113.147964
2016 08 01 0000  292.647784  2.420778  113.119156
2016 08 02 0000  292.639290  2.420694  113.090627
2016 08 03 0000  292.630834  2.420605  113.062376
2016 08 04 0000  292.622421  2.420510  113.034402
2016 08 05 0000  292.614052  2.420409  113.006702
2016 08 06 0000  292.605729  2.420302  112.979276
2016 08 07 0000  292.597456  2.420189  112.952122
2016 08 08 0000  292.589235  2.420070  112.925236
2016 08 09 0000  292.581067  2.419945  112.898617
2016 08 10 0000  292.572957  2.419815  112.872264
2016 08 11 0000  292.564905  2.419679  112.846172
2016 08 12 0000  292.556914  2.419537  112.820341
2016 08 13 0000  292.548987  2.419390  112.794768
2016 08 14 0000  292.541125  2.419237  112.769450
2016 08 15 0000  292.533330  2.419078  112.744386
2016 08 16 0000  292.525606  2.418914  112.719571
2016 08 17 0000  292.517953  2.418744  112.695005
2016 08 18 0000  292.510374  2.418569  112.670684
2016 08 19 0000  292.502871  2.418389  112.646607
2016 08 20 0000  292.495446  2.418203  112.622770
2016 08 21 0000  292.488101  2.418012  112.599171
2016 08 22 0000  292.480837  2.417816  112.575809
2016 08 23 0000  292.473658  2.417615  112.552680
2016 08 24 0000  292.466565  2.417410  112.529782
2016 08 25 0000  292.459560  2.417199  112.507112
2016 08 26 0000  292.452646  2.416983  112.484669
2016 08 27 0000  292.445824  2.416762  112.462448
2016 08 28 0000  292.439098  2.416537  112.440448
2016 08 29 0000  292.432468  2.416307  112.418664
2016 08 30 0000  292.425937  2.416073  112.397094
2016 08 31 0000  292.419508  2.415833  112.375735
2016 09 01 0000  292.413183  2.415590  112.354582
2016 09 02 0000  292.406963  2.415342  112.333632
2016 09 03 0000  292.400850  2.415089  112.312881
2016 09 04 0000  292.394847  2.414832  112.292325
2016 09 05 0000  292.388954  2.414571  112.271960
2016 09 06 0000  292.383175  2.414306  112.251782
2016 09 07 0000  292.377511  2.414037  112.231787
2016 09 08 0000  292.371963  2.413764  112.211972
2016 09 09 0000  292.366533  2.413486  112.192330
2016 09 10 0000  292.361222  2.413205  112.172860
2016 09 11 0000  292.356032  2.412921  112.153555
2016 09 12 0000  292.350965  2.412632  112.134413
2016 09 13 0000  292.346022  2.412340  112.115428
2016 09 14 0000  292.341203  2.412045  112.096598
2016 09 15 0000  292.336511  2.411746  112.077916
2016 09 16 0000  292.331947  2.411444  112.059380
2016 09 17 0000  292.327511  2.411138  112.040986
2016 09 18 0000  292.323206  2.410830  112.022729
2016 09 19 0000  292.319032  2.410519  112.004605
2016 09 20 0000  292.314990  2.410205  111.986610
2016 09 21 0000  292.311083  2.409888  111.968741
2016 09 22 0000  292.307311  2.409569  111.950994
2016 09 23 0000  292.303675  2.409247  111.933363
2016 09 24 0000  292.300177  2.408922  111.915845
2016 09 25 0000  292.296819  2.408596  111.898435
2016 09 26 0000  292.293601  2.408267  111.881128
2016 09 27 0000  292.290525  2.407935  111.863920
2016 09 28 0000  292.287591  2.407602  111.846806
2016 09 29 0000  292.284802  2.407267  111.829780
2016 09 30 0000  292.282158  2.406930  111.812838
2016 10 01 0000  292.279659  2.406591  111.795974
2016 10 02 0000  292.277308  2.406250  111.779184
2016 10 03 0000  292.275104  2.405908  111.762461
2016 10 04 0000  292.273048  2.405564  111.745802
2016 10 05 0000  292.271141  2.405219  111.729199
2016 10 06 0000  292.269384  2.404872  111.712649
2016 10 07 0000  292.267776  2.404524  111.696146
2016 10 08 0000  292.266319  2.404176  111.679685
2016 10 09 0000  292.265013  2.403826  111.663260
2016 10 10 0000  292.263858  2.403475  111.646867
2016 10 11 0000  292.262855  2.403124  111.630499
2016 10 12 0000  292.262003  2.402772  111.614153
2016 10 13 0000  292.261303  2.402420  111.597823
2016 10 14 0000  292.260754  2.402067  111.581504
2016 10 15 0000  292.260358  2.401714  111.565192
2016 10 16 0000  292.260113  2.401361  111.548881
2016 10 17 0000  292.260021  2.401008  111.532567
2016 10 18 0000  292.260081  2.400655  111.516245
2016 10 19 0000  292.260293  2.400302  111.499912
2016 10 20 0000  292.260657  2.399950  111.483560
2016 10 21 0000  292.261175  2.399598  111.467187
2016 10 22 0000  292.261845  2.399247  111.450787
2016 10 23 0000  292.262668  2.398896  111.434354
2016 10 24 0000  292.263644  2.398546  111.417885
2016 10 25 0000  292.264773  2.398197  111.401372
2016 10 26 0000  292.266054  2.397849  111.384811
2016 10 27 0000  292.267489  2.397502  111.368197
2016 10 28 0000  292.269075  2.397156  111.351524
2016 10 29 0000  292.270814  2.396811  111.334787
2016 10 30 0000  292.272704  2.396468  111.317980
