# YYYY MM DD HHMM  Lon(deg)  Lat(deg)  Dist(AU)
2016 05 06 0000  292.813293  2.398582  117.010396
2016 05 07 0000  292.813069  2.398599  116.976847
2016 05 08 0000  292.812844  2.398615  116.943298
2016 05 09 0000  292.812619  2.398632  116.909750
2016 05 10 0000  292.812395  2.398649  116.876201
2016 05 11 0000  292.812170  2.398665  116.842652
2016 05 12 0000  292.811945  2.398682  116.809103
2016 05 13 0000  292.811720  2.398699  116.775554
2016 05 14 0000  292.811494  2.398716  116.742006
2016 05 15 0000  292.811269  2.398732  116.708457
2016 05 16 0000  292.811044  2.398749  116.674908
2016 05 17 0000  292.810818  2.398766  116.641359
2016 05 18 0000  292.810592  2.398782  116.607810
2016 05 19 0000  292.810366  2.398799  116.574261
2016 05 20 0000  292.810140  2.398816  116.540712
2016 05 21 0000  292.809914  2.398833  116.507163
2016 05 22 0000  292.809688  2.398849  116.473614
2016 05 23 0000  292.809461  2.398866  116.440065
2016 05 24 0000  292.809235  2.398883  116.406516
2016 05 25 0000  292.809008  2.398900  116.372967
2016 05 26 0000  292.808781  2.398917  116.339418
2016 05 27 0000  292.808554  2.398933  116.305869
2016 05 28 0000  292.808327  2.398950  116.272319
2016 05 29 0000  292.808100  2.398967  116.238770
2016 05 30 0000  292.807873  2.398984  116.205221
2016 05 31 0000  292.807645  2.399001  116.171672
2016 06 01 0000  292.807418  2.399018  116.138123
2016 06 02 0000  292.807190  2.399035  116.104573
2016 06 03 0000  292.806962  2.399052  116.071024
2016 06 04 0000  292.806734  2.399068  116.037475
2016 06 05 0000  292.806506  2.399085  116.003926
2016 06 06 0000  292.806278  2.399102  115.970376
2016 06 07 0000  292.806049  2.399119  115.936827
2016 06 08 0000  292.805821  2.399136  115.903278
2016 06 09 0000  292.805592  2.399153  115.869728
2016 06 10 0000  292.805363  2.399170  115.836179
2016 06 11 0000  292.805134  2.399187  115.802629
2016 06 12 0000  292.804905  2.399204  115.769080
2016 06 13 0000  292.804676  2.399221  115.735530
2016 06 14 0000  292.804447  2.399238  115.701981
2016 06 15 0000  292.804217  2.399255  115.668431
2016 06 16 0000  292.803988  2.399272  115.634882
2016 06 17 0000  292.803758  2.399289  115.601332
2016 06 18 0000  292.803528  2.399306  115.567783
2016 06 19 0000  292.803298  2.399323  115.534233
2016 06 20 0000  292.803068  2.399340  115.500684
2016 06 21 0000  292.802838  2.399357  115.467134
2016 06 22 0000  292.802607  2.399374  115.433584
2016 06 23 0000  292.802377  2.399391  115.400035
2016 06 24 0000  292.802146  2.399409  115.366485
2016 06 25 0000  292.801915  2.399426  115.332935
2016 06 26 0000  292.801684  2.399443  115.299386
2016 06 27 0000  292.801453  2.399460  115.265836
2016 06 28 0000  292.801222  2.399477  115.232286
