# YYYY MM DD HHMM  Lon_sid(deg)  Lat(deg)  Dist(AU)  Ayanamsa(deg)
2023 01 25 0000  266.273013  2.466568  35.491814  25.059983
2023 01 26 0000  266.298374  2.466964  35.454099  25.059997
2023 01 27 0000  266.323666  2.467382  35.416094  25.060011
2023 01 28 0000  266.348874  2.467820  35.377801  25.060032
2023 01 29 0000  266.373986  2.468280  35.339222  25.060065
2023 01 30 0000  266.398993  2.468760  35.300359  25.060110
2023 01 31 0000  266.423889  2.469262  35.261213  25.060166
2023 02 01 0000  266.448670  2.469783  35.221787  25.060230
2023 02 02 0000  266.473331  2.470326  35.182083  25.060297
2023 02 03 0000  266.497871  2.470889  35.142101  25.060362
2023 02 04 0000  266.522285  2.471472  35.101845  25.060423
2023 02 05 0000  266.546571  2.472075  35.061317  25.060474
2023 02 06 0000  266.570722  2.472699  35.020518  25.060515
2023 02 07 0000  266.594731  2.473343  34.979451  25.060544
2023 02 08 0000  266.618591  2.474008  34.938117  25.060562
2023 02 09 0000  266.642291  2.474692  34.896519  25.060572
2023 02 10 0000  266.665820  2.475396  34.854659  25.060579
2023 02 11 0000  266.689163  2.476121  34.812539  25.060588
2023 02 12 0000  266.712308  2.476865  34.770162  25.060604
2023 02 13 0000  266.735243  2.477630  34.727529  25.060633
2023 02 14 0000  266.757955  2.478414  34.684643  25.060678
2023 02 15 0000  266.780438  2.479218  34.641507  25.060739
2023 02 16 0000  266.802684  2.480043  34.598122  25.060814
2023 02 17 0000  266.824695  2.480887  34.554493  25.060894
2023 02 18 0000  266.846472  2.481751  34.510621  25.060970
2023 02 19 0000  266.868018  2.482635  34.466509  25.061031
2023 02 20 0000  266.889329  2.483538  34.422161  25.061070
2023 02 21 0000  266.910399  2.484460  34.377580  25.061089
2023 02 22 0000  266.931211  2.485402  34.332771  25.061094
2023 02 23 0000  266.951749  2.486363  34.287735  25.061095
2023 02 24 0000  266.971996  2.487343  34.242479  25.061101
2023 02 25 0000  266.991938  2.488341  34.197004  25.061118
2023 02 26 0000  267.011566  2.489357  34.151316  25.061149
2023 02 27 0000  267.030876  2.490391  34.105418  25.061192
2023 02 28 0000  267.049863  2.491443  34.059314  25.061244
2023 03 01 0000  267.068526  2.492512  34.013008  25.061300
2023 03 02 0000  267.086863  2.493599  33.966503  25.061356
2023 03 03 0000  267.104871  2.494702  33.919805  25.061408
2023 03 04 0000  267.122549  2.495823  33.872916  25.061452
2023 03 05 0000  267.139892  2.496960  33.825841  25.061485
2023 03 06 0000  267.156896  2.498113  33.778583  25.061507
2023 03 07 0000  267.173554  2.499283  33.731147  25.061518
2023 03 08 0000  267.189857  2.500469  33.683536  25.061520
2023 03 09 0000  267.205796  2.501671  33.635754  25.061518
2023 03 10 0000  267.221359  2.502888  33.587805  25.061516
2023 03 11 0000  267.236535  2.504121  33.539693  25.061522
2023 03 12 0000  267.251311  2.505370  33.491422  25.061539
2023 03 13 0000  267.265680  2.506634  33.442996  25.061571
2023 03 14 0000  267.279633  2.507912  33.394418  25.061619
2023 03 15 0000  267.293168  2.509206  33.345694  25.061680
2023 03 16 0000  267.306283  2.510515  33.296827  25.061749
2023 03 17 0000  267.318982  2.511838  33.247821  25.061817
2023 03 18 0000  267.331266  2.513175  33.198682  25.061875
2023 03 19 0000  267.343138  2.514526  33.149413  25.061916
2023 03 20 0000  267.354593  2.515891  33.100019  25.061936
2023 03 21 0000  267.365622  2.517270  33.050505  25.061940
2023 03 22 0000  267.376211  2.518662  33.000877  25.061936
2023 03 23 0000  267.386345  2.520066  32.951138  25.061934
2023 03 24 0000  267.396010  2.521483  32.901296  25.061942
2023 03 25 0000  267.405198  2.522912  32.851354  25.061964
2023 03 26 0000  267.413905  2.524352  32.801318  25.062000
2023 03 27 0000  267.422128  2.525803  32.751193  25.062048
2023 03 28 0000  267.429869  2.527265  32.700984  25.062102
2023 03 29 0000  267.437128  2.528738  32.650696  25.062158
2023 03 30 0000  267.443908  2.530220  32.600334  25.062210
2023 03 31 0000  267.450207  2.531712  32.549902  25.062256
2023 04 01 0000  267.456026  2.533214  32.499407  25.062292
2023 04 02 0000  267.461363  2.534725  32.448853  25.062316
2023 04 03 0000  267.466213  2.536244  32.398244  25.062330
2023 04 04 0000  267.470572  2.537772  32.347585  25.062334
2023 04 05 0000  267.474433  2.539308  32.296881  25.062333
2023 04 06 0000  267.477789  2.540852  32.246137  25.062331
2023 04 07 0000  267.480629  2.542404  32.195358  25.062335
2023 04 08 0000  267.482945  2.543962  32.144548  25.062351
2023 04 09 0000  267.484730  2.545528  32.093712  25.062381
2023 04 10 0000  267.485980  2.547101  32.042854  25.062429
2023 04 11 0000  267.486694  2.548680  31.991979  25.062491
2023 04 12 0000  267.486875  2.550265  31.941092  25.062561
2023 04 13 0000  267.486527  2.551856  31.890198  25.062632
2023 04 14 0000  267.485655  2.553453  31.839302  25.062695
2023 04 15 0000  267.484265  2.555054  31.788408  25.062743
2023 04 16 0000  267.482356  2.556661  31.737522  25.062773
2023 04 17 0000  267.479924  2.558272  31.686650  25.062787
2023 04 18 0000  267.476960  2.559887  31.635796  25.062790
2023 04 19 0000  267.473455  2.561505  31.584966  25.062792
2023 04 20 0000  267.469397  2.563126  31.534165  25.062800
2023 04 21 0000  267.464778  2.564750  31.483399  25.062822
2023 04 22 0000  267.459597  2.566376  31.432674  25.062860
2023 04 23 0000  267.453854  2.568003  31.381993  25.062911
2023 04 24 0000  267.447552  2.569631  31.331364  25.062971
2023 04 25 0000  267.440698  2.571259  31.280791  25.063035
2023 04 26 0000  267.433296  2.572887  31.230278  25.063098
2023 04 27 0000  267.425352  2.574515  31.179832  25.063155
2023 04 28 0000  267.416868  2.576142  31.129457  25.063202
2023 04 29 0000  267.407846  2.577768  31.079157  25.063239
2023 04 30 0000  267.398289  2.579393  31.028938  25.063265
2023 05 01 0000  267.388194  2.581015  30.978804  25.063281
2023 05 02 0000  267.377561  2.582634  30.928759  25.063290
2023 05 03 0000  267.366384  2.584251  30.878810  25.063297
2023 05 04 0000  267.354660  2.585865  30.828959  25.063308
2023 05 05 0000  267.342383  2.587475  30.779211  25.063328
2023 05 06 0000  267.329549  2.589081  30.729570  25.063364
2023 05 07 0000  267.316156  2.590684  30.680042  25.063418
2023 05 08 0000  267.302207  2.592281  30.630630  25.063488
2023 05 09 0000  267.287708  2.593874  30.581338  25.063569
2023 05 10 0000  267.272669  2.595461  30.532171  25.063652
2023 05 11 0000  267.257099  2.597043  30.483134  25.063728
2023 05 12 0000  267.241008  2.598619  30.434230  25.063790
2023 05 13 0000  267.224401  2.600189  30.385465  25.063834
2023 05 14 0000  267.207278  2.601751  30.336843  25.063862
2023 05 15 0000  267.189636  2.603306  30.288368  25.063877
2023 05 16 0000  267.171469  2.604853  30.240046  25.063889
2023 05 17 0000  267.152771  2.606392  30.191881  25.063906
2023 05 18 0000  267.133540  2.607921  30.143878  25.063933
2023 05 19 0000  267.113774  2.609441  30.096041  25.063975
2023 05 20 0000  267.093477  2.610951  30.048376  25.064032
2023 05 21 0000  267.072657  2.612450  30.000886  25.064100
2023 05 22 0000  267.051323  2.613939  29.953575  25.064174
2023 05 23 0000  267.029484  2.615415  29.906449  25.064248
2023 05 24 0000  267.007152  2.616880  29.859510  25.064318
2023 05 25 0000  266.984334  2.618331  29.812764  25.064380
2023 05 26 0000  266.961037  2.619770  29.766213  25.064430
2023 05 27 0000  266.937268  2.621196  29.719861  25.064470
2023 05 28 0000  266.913031  2.622608  29.673713  25.064499
2023 05 29 0000  266.888328  2.624006  29.627772  25.064520
2023 05 30 0000  266.863160  2.625389  29.582040  25.064537
2023 05 31 0000  266.837529  2.626757  29.536522  25.064556
2023 06 01 0000  266.811433  2.628111  29.491220  25.064581
2023 06 02 0000  266.784873  2.629448  29.446138  25.064620
2023 06 03 0000  266.757849  2.630770  29.401279  25.064677
2023 06 04 0000  266.730366  2.632076  29.356645  25.064751
2023 06 05 0000  266.702435  2.633366  29.312240  25.064840
2023 06 06 0000  266.674068  2.634639  29.268067  25.064935
2023 06 07 0000  266.645281  2.635894  29.224128  25.065026
2023 06 08 0000  266.616090  2.637133  29.180426  25.065102
2023 06 09 0000  266.586505  2.638354  29.136965  25.065160
2023 06 10 0000  266.556532  2.639556  29.093748  25.065199
2023 06 11 0000  266.526172  2.640740  29.050778  25.065224
2023 06 12 0000  266.495424  2.641905  29.008058  25.065243
2023 06 13 0000  266.464286  2.643050  28.965591  25.065264
2023 06 14 0000  266.432760  2.644175  28.923380  25.065295
2023 06 15 0000  266.400847  2.645280  28.881429  25.065340
2023 06 16 0000  266.368557  2.646364  28.839739  25.065398
2023 06 17 0000  266.335899  2.647426  28.798315  25.065468
2023 06 18 0000  266.302885  2.648467  28.757158  25.065546
2023 06 19 0000  266.269531  2.649486  28.716271  25.065626
2023 06 20 0000  266.235850  2.650482  28.675655  25.065702
2023 06 21 0000  266.201855  2.651455  28.635315  25.065771
2023 06 22 0000  266.167559  2.652405  28.595250  25.065829
2023 06 23 0000  266.132972  2.653332  28.555464  25.065876
2023 06 24 0000  266.098102  2.654235  28.515957  25.065912
2023 06 25 0000  266.062957  2.655113  28.476732  25.065938
2023 06 26 0000  266.027543  2.655968  28.437790  25.065959
2023 06 27 0000  265.991864  2.656798  28.399132  25.065980
2023 06 28 0000  265.955925  2.657604  28.360760  25.066005
2023 06 29 0000  265.919729  2.658385  28.322675  25.066040
2023 06 30 0000  265.883281  2.659141  28.284877  25.066091
2023 07 01 0000  265.846588  2.659872  28.247368  25.066159
2023 07 02 0000  265.809659  2.660578  28.210149  25.066245
2023 07 03 0000  265.772510  2.661258  28.173220  25.066340
2023 07 04 0000  265.735161  2.661913  28.136581  25.066436
2023 07 05 0000  265.697632  2.662542  28.100235  25.066521
2023 07 06 0000  265.659939  2.663145  28.064182  25.066587
2023 07 07 0000  265.622094  2.663723  28.028422  25.066632
2023 07 08 0000  265.584103  2.664274  27.992958  25.066659
2023 07 09 0000  265.545968  2.664798  27.957788  25.066678
2023 07 10 0000  265.507688  2.665295  27.922916  25.066697
2023 07 11 0000  265.469266  2.665766  27.888341  25.066723
2023 07 12 0000  265.430709  2.666209  27.854064  25.066763
2023 07 13 0000  265.392027  2.666624  27.820086  25.066815
2023 07 14 0000  265.353232  2.667012  27.786407  25.066880
2023 07 15 0000  265.314339  2.667371  27.753028  25.066952
2023 07 16 0000  265.275365  2.667702  27.719949  25.067028
2023 07 17 0000  265.236327  2.668005  27.687169  25.067101
2023 07 18 0000  265.197240  2.668279  27.654688  25.067168
2023 07 19 0000  265.158119  2.668525  27.622507  25.067224
2023 07 20 0000  265.118978  2.668743  27.590624  25.067269
2023 07 21 0000  265.079828  2.668931  27.559040  25.067303
2023 07 22 0000  265.040679  2.669091  27.527752  25.067326
2023 07 23 0000  265.001540  2.669222  27.496762  25.067342
2023 07 24 0000  264.962417  2.669325  27.466066  25.067357
2023 07 25 0000  264.923317  2.669399  27.435665  25.067373
2023 07 26 0000  264.884246  2.669445  27.405557  25.067398
2023 07 27 0000  264.845211  2.669463  27.375740  25.067436
2023 07 28 0000  264.806218  2.669452  27.346214  25.067489
2023 07 29 0000  264.767278  2.669413  27.316976  25.067559
2023 07 30 0000  264.728406  2.669346  27.288026  25.067643
2023 07 31 0000  264.689620  2.669251  27.259360  25.067732
2023 08 01 0000  264.650939  2.669129  27.230979  25.067815
2023 08 02 0000  264.612386  2.668979  27.202879  25.067883
2023 08 03 0000  264.573977  2.668801  27.175061  25.067929
2023 08 04 0000  264.535719  2.668596  27.147521  25.067954
2023 08 05 0000  264.497617  2.668364  27.120259  25.067966
2023 08 06 0000  264.459671  2.668103  27.093273  25.067974
2023 08 07 0000  264.421882  2.667816  27.066562  25.067989
2023 08 08 0000  264.384255  2.667500  27.040124  25.068017
2023 08 09 0000  264.346801  2.667158  27.013958  25.068058
2023 08 10 0000  264.309531  2.666787  26.988061  25.068111
2023 08 11 0000  264.272462  2.666390  26.962431  25.068173
2023 08 12 0000  264.235609  2.665965  26.937066  25.068239
2023 08 13 0000  264.198989  2.665513  26.911964  25.068303
2023 08 14 0000  264.162618  2.665034  26.887122  25.068362
2023 08 15 0000  264.126511  2.664529  26.862537  25.068411
2023 08 16 0000  264.090681  2.663997  26.838207  25.068448
2023 08 17 0000  264.055140  2.663438  26.814129  25.068474
2023 08 18 0000  264.019897  2.662854  26.790300  25.068489
2023 08 19 0000  263.984960  2.662244  26.766716  25.068497
2023 08 20 0000  263.950336  2.661608  26.743375  25.068501
2023 08 21 0000  263.916030  2.660948  26.720272  25.068506
2023 08 22 0000  263.882048  2.660263  26.697405  25.068518
2023 08 23 0000  263.848395  2.659553  26.674770  25.068540
2023 08 24 0000  263.815077  2.658820  26.652362  25.068577
2023 08 25 0000  263.782103  2.658063  26.630179  25.068630
2023 08 26 0000  263.749483  2.657283  26.608217  25.068696
2023 08 27 0000  263.717233  2.656480  26.586472  25.068771
2023 08 28 0000  263.685369  2.655655  26.564939  25.068846
2023 08 29 0000  263.653909  2.654808  26.543616  25.068910
2023 08 30 0000  263.622871  2.653940  26.522498  25.068955
2023 08 31 0000  263.592266  2.653050  26.501582  25.068979
2023 09 01 0000  263.562096  2.652139  26.480865  25.068986
2023 09 02 0000  263.532362  2.651207  26.460342  25.068985
2023 09 03 0000  263.503059  2.650255  26.440011  25.068986
2023 09 04 0000  263.474190  2.649282  26.419868  25.069000
2023 09 05 0000  263.445758  2.648290  26.399909  25.069028
2023 09 06 0000  263.417774  2.647277  26.380130  25.069071
2023 09 07 0000  263.390249  2.646245  26.360527  25.069124
2023 09 08 0000  263.363199  2.645194  26.341097  25.069182
2023 09 09 0000  263.336637  2.644125  26.321835  25.069240
2023 09 10 0000  263.310576  2.643037  26.302737  25.069292
2023 09 11 0000  263.285028  2.641931  26.283798  25.069336
2023 09 12 0000  263.260003  2.640807  26.265013  25.069369
2023 09 13 0000  263.235511  2.639666  26.246379  25.069389
2023 09 14 0000  263.211557  2.638509  26.227890  25.069399
2023 09 15 0000  263.188147  2.637336  26.209542  25.069401
2023 09 16 0000  263.165284  2.636148  26.191330  25.069398
2023 09 17 0000  263.142970  2.634944  26.173248  25.069396
2023 09 18 0000  263.121206  2.633726  26.155292  25.069399
2023 09 19 0000  263.099994  2.632494  26.137456  25.069413
2023 09 20 0000  263.079337  2.631249  26.119736  25.069440
2023 09 21 0000  263.059238  2.629991  26.102126  25.069482
2023 09 22 0000  263.039705  2.628721  26.084621  25.069538
2023 09 23 0000  263.020746  2.627440  26.067216  25.069603
2023 09 24 0000  263.002373  2.626147  26.049906  25.069671
2023 09 25 0000  262.984599  2.624844  26.032685  25.069733
2023 09 26 0000  262.967436  2.623531  26.015549  25.069780
2023 09 27 0000  262.950892  2.622209  25.998493  25.069808
2023 09 28 0000  262.934972  2.620877  25.981512  25.069818
2023 09 29 0000  262.919671  2.619537  25.964601  25.069815
2023 09 30 0000  262.904983  2.618189  25.947756  25.069812
2023 10 01 0000  262.890902  2.616833  25.930971  25.069817
2023 10 02 0000  262.877425  2.615469  25.914243  25.069838
2023 10 03 0000  262.864555  2.614098  25.897566  25.069875
2023 10 04 0000  262.852299  2.612720  25.880936  25.069926
2023 10 05 0000  262.840668  2.611337  25.864348  25.069985
2023 10 06 0000  262.829670  2.609947  25.847796  25.070044
2023 10 07 0000  262.819315  2.608552  25.831276  25.070100
2023 10 08 0000  262.809610  2.607152  25.814782  25.070148
2023 10 09 0000  262.800562  2.605748  25.798310  25.070185
2023 10 10 0000  262.792173  2.604340  25.781853  25.070211
2023 10 11 0000  262.784447  2.602929  25.765406  25.070225
2023 10 12 0000  262.777383  2.601516  25.748965  25.070230
2023 10 13 0000  262.770981  2.600100  25.732522  25.070231
2023 10 14 0000  262.765236  2.598683  25.716074  25.070230
2023 10 15 0000  262.760145  2.597265  25.699615  25.070235
2023 10 16 0000  262.755704  2.595847  25.683138  25.070249
2023 10 17 0000  262.751911  2.594430  25.666638  25.070277
2023 10 18 0000  262.748763  2.593014  25.650111  25.070320
2023 10 19 0000  262.746263  2.591599  25.633549  25.070377
2023 10 20 0000  262.744413  2.590187  25.616949  25.070445
2023 10 21 0000  262.743220  2.588777  25.600304  25.070517
2023 10 22 0000  262.742690  2.587372  25.583609  25.070584
2023 10 23 0000  262.742830  2.585970  25.566859  25.070639
2023 10 24 0000  262.743643  2.584572  25.550050  25.070678
2023 10 25 0000  262.745129  2.583180  25.533175  25.070700
2023 10 26 0000  262.747282  2.581793  25.516231  25.070708
2023 10 27 0000  262.750091  2.580412  25.499212  25.070711
2023 10 28 0000  262.753546  2.579037  25.482115  25.070719
2023 10 29 0000  262.757636  2.577669  25.464934  25.070741
2023 10 30 0000  262.762356  2.576307  25.447665  25.070779
2023 10 31 0000  262.767705  2.574953  25.430304  25.070835
2023 11 01 0000  262.773688  2.573607  25.412845  25.070901
2023 11 02 0000  262.780310  2.572268  25.395285  25.070972
2023 11 03 0000  262.787576  2.570939  25.377617  25.071040
2023 11 04 0000  262.795488  2.569618  25.359839  25.071102
2023 11 05 0000  262.804047  2.568307  25.341943  25.071153
2023 11 06 0000  262.813254  2.567006  25.323927  25.071193
2023 11 07 0000  262.823106  2.565715  25.305785  25.071221
2023 11 08 0000  262.833596  2.564436  25.287512  25.071240
2023 11 09 0000  262.844720  2.563168  25.269103  25.071252
2023 11 10 0000  262.856470  2.561913  25.250553  25.071262
2023 11 11 0000  262.868836  2.560670  25.231858  25.071276
2023 11 12 0000  262.881810  2.559440  25.213013  25.071298
2023 11 13 0000  262.895382  2.558225  25.194012  25.071333
2023 11 14 0000  262.909545  2.557024  25.174852  25.071384
2023 11 15 0000  262.924295  2.555838  25.155527  25.071451
2023 11 16 0000  262.939629  2.554667  25.136034  25.071530
2023 11 17 0000  262.955549  2.553512  25.116366  25.071614
2023 11 18 0000  262.972057  2.552374  25.096521  25.071695
2023 11 19 0000  262.989155  2.551254  25.076494  25.071765
2023 11 20 0000  263.006841  2.550150  25.056281  25.071819
2023 11 21 0000  263.025110  2.549064  25.035878  25.071856
2023 11 22 0000  263.043953  2.547997  25.015281  25.071879
2023 11 23 0000  263.063356  2.546948  24.994487  25.071895
2023 11 24 0000  263.083304  2.545917  24.973493  25.071913
2023 11 25 0000  263.103782  2.544906  24.952294  25.071941
2023 11 26 0000  263.124778  2.543914  24.930889  25.071984
2023 11 27 0000  263.146285  2.542942  24.909272  25.072045
2023 11 28 0000  263.168300  2.541989  24.887442  25.072119
2023 11 29 0000  263.190823  2.541057  24.865395  25.072201
2023 11 30 0000  263.213854  2.540145  24.843128  25.072283
2023 12 01 0000  263.237394  2.539254  24.820636  25.072360
2023 12 02 0000  263.261441  2.538384  24.797918  25.072428
2023 12 03 0000  263.285989  2.537536  24.774969  25.072483
2023 12 04 0000  263.311033  2.536710  24.751787  25.072527
2023 12 05 0000  263.336563  2.535906  24.728367  25.072559
2023 12 06 0000  263.362570  2.535125  24.704707  25.072584
2023 12 07 0000  263.389042  2.534368  24.680804  25.072605
2023 12 08 0000  263.415965  2.533634  24.656654  25.072628
2023 12 09 0000  263.443328  2.532924  24.632255  25.072656
2023 12 10 0000  263.471117  2.532239  24.607602  25.072696
2023 12 11 0000  263.499319  2.531579  24.582694  25.072751
2023 12 12 0000  263.527924  2.530944  24.557527  25.072823
2023 12 13 0000  263.556924  2.530335  24.532098  25.072909
2023 12 14 0000  263.586317  2.529752  24.506406  25.073003
2023 12 15 0000  263.616102  2.529196  24.480446  25.073097
2023 12 16 0000  263.646277  2.528667  24.454218  25.073182
2023 12 17 0000  263.676839  2.528165  24.427718  25.073249
2023 12 18 0000  263.707781  2.527690  24.400945  25.073298
2023 12 19 0000  263.739089  2.527243  24.373897  25.073331
2023 12 20 0000  263.770746  2.526824  24.346573  25.073354
2023 12 21 0000  263.802733  2.526433  24.318970  25.073377
2023 12 22 0000  263.835033  2.526071  24.291088  25.073408
2023 12 23 0000  263.867630  2.525736  24.262926  25.073453
2023 12 24 0000  263.900512  2.525430  24.234482  25.073512
2023 12 25 0000  263.933672  2.525152  24.205754  25.073586
2023 12 26 0000  263.967104  2.524903  24.176743  25.073669
2023 12 27 0000  264.000806  2.524683  24.147446  25.073756
2023 12 28 0000  264.034774  2.524492  24.117862  25.073839
2023 12 29 0000  264.069005  2.524330  24.087991  25.073913
2023 12 30 0000  264.103491  2.524198  24.057831  25.073976
2023 12 31 0000  264.138224  2.524096  24.027381  25.074025
2024 01 01 0000  264.173193  2.524023  23.996640  25.074063
2024 01 02 0000  264.208386  2.523981  23.965607  25.074092
2024 01 03 0000  264.243788  2.523969  23.934281  25.074115
2024 01 04 0000  264.279384  2.523988  23.902661  25.074137
2024 01 05 0000  264.315159  2.524038  23.870746  25.074163
2024 01 06 0000  264.351097  2.524120  23.838536  25.074198
2024 01 07 0000  264.387183  2.524233  23.806029  25.074246
2024 01 08 0000  264.423403  2.524378  23.773226  25.074309
2024 01 09 0000  264.459745  2.524556  23.740124  25.074388
2024 01 10 0000  264.496201  2.524766  23.706725  25.074479
2024 01 11 0000  264.532768  2.525008  23.673028  25.074573
2024 01 12 0000  264.569442  2.525283  23.639033  25.074661
2024 01 13 0000  264.606221  2.525592  23.604739  25.074735
2024 01 14 0000  264.643097  2.525933  23.570147  25.074787
2024 01 15 0000  264.680056  2.526307  23.535258  25.074820
2024 01 16 0000  264.717080  2.526715  23.500073  25.074841
2024 01 17 0000  264.754147  2.527156  23.464592  25.074858
2024 01 18 0000  264.791235  2.527630  23.428816  25.074881
2024 01 19 0000  264.828327  2.528137  23.392746  25.074917
2024 01 20 0000  264.865410  2.528677  23.356384  25.074968
2024 01 21 0000  264.902472  2.529250  23.319730  25.075032
2024 01 22 0000  264.939507  2.529856  23.282786  25.075105
2024 01 23 0000  264.976509  2.530495  23.245553  25.075183
2024 01 24 0000  265.013474  2.531167  23.208033  25.075259
2024 01 25 0000  265.050395  2.531873  23.170225  25.075327
2024 01 26 0000  265.087265  2.532611  23.132132  25.075384
2024 01 27 0000  265.124075  2.533383  23.093755  25.075429
2024 01 28 0000  265.160814  2.534188  23.055095  25.075461
2024 01 29 0000  265.197467  2.535026  23.016154  25.075483
2024 01 30 0000  265.234021  2.535898  22.976932  25.075497
2024 01 31 0000  265.270459  2.536803  22.937431  25.075509
2024 02 01 0000  265.306764  2.537742  22.897653  25.075524
2024 02 02 0000  265.342921  2.538715  22.857598  25.075545
2024 02 03 0000  265.378912  2.539722  22.817270  25.075577
2024 02 04 0000  265.414724  2.540763  22.776668  25.075623
2024 02 05 0000  265.450342  2.541839  22.735796  25.075683
2024 02 06 0000  265.485757  2.542948  22.694654  25.075757
2024 02 07 0000  265.520960  2.544092  22.653245  25.075838
2024 02 08 0000  265.555947  2.545270  22.611571  25.075918
2024 02 09 0000  265.590715  2.546483  22.569634  25.075988
2024 02 10 0000  265.625259  2.547730  22.527436  25.076039
2024 02 11 0000  265.659568  2.549011  22.484981  25.076069
2024 02 12 0000  265.693625  2.550326  22.442270  25.076081
2024 02 13 0000  265.727408  2.551675  22.399307  25.076086
2024 02 14 0000  265.760893  2.553057  22.356096  25.076094
2024 02 15 0000  265.794060  2.554473  22.312639  25.076114
2024 02 16 0000  265.826894  2.555922  22.268940  25.076150
2024 02 17 0000  265.859384  2.557404  22.225001  25.076200
2024 02 18 0000  265.891522  2.558918  22.180827  25.076261
2024 02 19 0000  265.923305  2.560466  22.136420  25.076327
2024 02 20 0000  265.954725  2.562045  22.091784  25.076391
2024 02 21 0000  265.985779  2.563657  22.046922  25.076449
2024 02 22 0000  266.016458  2.565301  22.001837  25.076497
2024 02 23 0000  266.046754  2.566977  21.956532  25.076533
2024 02 24 0000  266.076657  2.568685  21.911011  25.076556
2024 02 25 0000  266.106153  2.570424  21.865277  25.076568
2024 02 26 0000  266.135229  2.572196  21.819333  25.076572
2024 02 27 0000  266.163870  2.573999  21.773183  25.076572
2024 02 28 0000  266.192059  2.575834  21.726830  25.076574
2024 02 29 0000  266.219781  2.577700  21.680276  25.076581
2024 03 01 0000  266.247020  2.579598  21.633526  25.076599
2024 03 02 0000  266.273762  2.581527  21.586584  25.076629
2024 03 03 0000  266.299995  2.583487  21.539452  25.076672
2024 03 04 0000  266.325707  2.585479  21.492134  25.076729
2024 03 05 0000  266.350891  2.587501  21.444634  25.076795
2024 03 06 0000  266.375541  2.589555  21.396955  25.076864
2024 03 07 0000  266.399652  2.591639  21.349102  25.076928
2024 03 08 0000  266.423223  2.593754  21.301079  25.076977
2024 03 09 0000  266.446247  2.595898  21.252889  25.077007
2024 03 10 0000  266.468710  2.598073  21.204537  25.077017
2024 03 11 0000  266.490595  2.600277  21.156028  25.077015
2024 03 12 0000  266.511878  2.602511  21.107367  25.077012
2024 03 13 0000  266.532539  2.604772  21.058557  25.077019
2024 03 14 0000  266.552559  2.607062  21.009605  25.077042
2024 03 15 0000  266.571929  2.609380  20.960514  25.077082
2024 03 16 0000  266.590642  2.611724  20.911290  25.077136
2024 03 17 0000  266.608696  2.614095  20.861937  25.077196
2024 03 18 0000  266.626089  2.616493  20.812460  25.077257
2024 03 19 0000  266.642816  2.618917  20.762864  25.077312
2024 03 20 0000  266.658873  2.621366  20.713153  25.077358
2024 03 21 0000  266.674254  2.623841  20.663332  25.077391
2024 03 22 0000  266.688950  2.626341  20.613405  25.077412
2024 03 23 0000  266.702952  2.628865  20.563377  25.077422
2024 03 24 0000  266.716246  2.631414  20.513252  25.077424
2024 03 25 0000  266.728822  2.633987  20.463035  25.077421
2024 03 26 0000  266.740665  2.636584  20.412731  25.077419
2024 03 27 0000  266.751762  2.639204  20.362343  25.077421
2024 03 28 0000  266.762099  2.641848  20.311876  25.077433
2024 03 29 0000  266.771666  2.644514  20.261336  25.077458
2024 03 30 0000  266.780451  2.647204  20.210726  25.077496
2024 03 31 0000  266.788446  2.649915  20.160051  25.077547
2024 04 01 0000  266.795647  2.652648  20.109315  25.077608
2024 04 02 0000  266.802048  2.655403  20.058524  25.077673
2024 04 03 0000  266.807648  2.658179  20.007682  25.077736
2024 04 04 0000  266.812445  2.660975  19.956795  25.077789
2024 04 05 0000  266.816437  2.663792  19.905866  25.077826
2024 04 06 0000  266.819617  2.666628  19.854902  25.077844
2024 04 07 0000  266.821972  2.669484  19.803907  25.077848
2024 04 08 0000  266.823487  2.672357  19.752887  25.077846
2024 04 09 0000  266.824140  2.675248  19.701847  25.077849
2024 04 10 0000  266.823917  2.678156  19.650794  25.077867
2024 04 11 0000  266.822806  2.681080  19.599732  25.077904
2024 04 12 0000  266.820803  2.684019  19.548666  25.077959
2024 04 13 0000  266.817910  2.686973  19.497603  25.078024
2024 04 14 0000  266.814128  2.689941  19.446548  25.078092
2024 04 15 0000  266.809460  2.692922  19.395505  25.078156
2024 04 16 0000  266.803906  2.695915  19.344481  25.078211
2024 04 17 0000  266.797465  2.698921  19.293479  25.078254
2024 04 18 0000  266.790132  2.701939  19.242505  25.078284
2024 04 19 0000  266.781902  2.704968  19.191564  25.078303
2024 04 20 0000  266.772768  2.708007  19.140661  25.078312
2024 04 21 0000  266.762723  2.711055  19.089800  25.078317
2024 04 22 0000  266.751758  2.714114  19.038986  25.078320
2024 04 23 0000  266.739864  2.717181  18.988225  25.078328
2024 04 24 0000  266.727032  2.720256  18.937520  25.078345
2024 04 25 0000  266.713255  2.723339  18.886877  25.078373
2024 04 26 0000  266.698527  2.726429  18.836301  25.078416
2024 04 27 0000  266.682845  2.729525  18.785795  25.078473
2024 04 28 0000  266.666208  2.732628  18.735365  25.078540
2024 04 29 0000  266.648617  2.735736  18.685015  25.078613
2024 04 30 0000  266.630076  2.738848  18.634751  25.078684
2024 05 01 0000  266.610588  2.741965  18.584577  25.078747
2024 05 02 0000  266.590156  2.745084  18.534497  25.078796
