# YYYY MM DD HHMM  Lon_sid(deg)  Lat(deg)  Dist(AU)  Ayanamsa(deg)
2016 04 14 0000  268.337787  2.398704  117.728021  24.966742
2016 04 15 0000  268.337589  2.399070  117.677345  24.966780
2016 04 16 0000  268.337257  2.399436  117.626680  24.966808
2016 04 17 0000  268.336792  2.399802  117.576032  24.966826
2016 04 18 0000  268.336192  2.400167  117.525405  24.966836
2016 04 19 0000  268.335454  2.400533  117.474803  24.966842
2016 04 20 0000  268.334576  2.400899  117.424232  24.966845
2016 04 21 0000  268.333553  2.401264  117.373697  24.966851
2016 04 22 0000  268.332383  2.401628  117.323201  24.966862
2016 04 23 0000  268.331064  2.401992  117.272750  24.966879
2016 04 24 0000  268.329595  2.402355  117.222348  24.966906
2016 04 25 0000  268.327976  2.402717  117.171999  24.966941
2016 04 26 0000  268.326208  2.403078  117.121710  24.966984
2016 04 27 0000  268.324294  2.403438  117.071482  24.967032
2016 04 28 0000  268.322238  2.403797  117.021323  24.967082
2016 04 29 0000  268.320044  2.404155  116.971236  24.967131
2016 04 30 0000  268.317716  2.404512  116.921226  24.967173
2016 05 01 0000  268.315257  2.404867  116.871297  24.967207
2016 05 02 0000  268.312670  2.405220  116.821455  24.967230
2016 05 03 0000  268.309954  2.405572  116.771704  24.967244
2016 05 04 0000  268.307105  2.405923  116.722050  24.967253
2016 05 05 0000  268.304117  2.406271  116.672497  24.967263
2016 05 06 0000  268.300983  2.406618  116.623050  24.967284
2016 05 07 0000  268.297698  2.406963  116.573715  24.967319
2016 05 08 0000  268.294263  2.407305  116.524496  24.967369
2016 05 09 0000  268.290683  2.407646  116.475398  24.967431
2016 05 10 0000  268.286966  2.407984  116.426427  24.967496
2016 05 11 0000  268.283121  2.408320  116.377586  24.967559
2016 05 12 0000  268.279154  2.408653  116.328880  24.967613
2016 05 13 0000  268.275069  2.408984  116.280314  24.967655
2016 05 14 0000  268.270867  2.409313  116.231890  24.967688
2016 05 15 0000  268.266547  2.409638  116.183614  24.967711
2016 05 16 0000  268.262108  2.409961  116.135490  24.967728
2016 05 17 0000  268.257547  2.410281  116.087520  24.967742
2016 05 18 0000  268.252863  2.410597  116.039710  24.967757
2016 05 19 0000  268.248053  2.410911  115.992063  24.967777
2016 05 20 0000  268.243115  2.411221  115.944581  24.967803
2016 05 21 0000  268.238050  2.411528  115.897270  24.967838
2016 05 22 0000  268.232859  2.411832  115.850133  24.967882
2016 05 23 0000  268.227542  2.412132  115.803173  24.967934
2016 05 24 0000  268.222105  2.412428  115.756394  24.967992
2016 05 25 0000  268.216551  2.412721  115.709799  24.968053
2016 05 26 0000  268.210886  2.413010  115.663392  24.968112
2016 05 27 0000  268.205116  2.413295  115.617176  24.968166
2016 05 28 0000  268.199244  2.413577  115.571156  24.968212
2016 05 29 0000  268.193273  2.413854  115.525334  24.968247
2016 05 30 0000  268.187206  2.414127  115.479714  24.968273
2016 05 31 0000  268.181039  2.414397  115.434301  24.968293
2016 06 01 0000  268.174769  2.414662  115.389096  24.968311
2016 06 02 0000  268.168391  2.414923  115.344105  24.968336
2016 06 03 0000  268.161900  2.415179  115.299331  24.968373
2016 06 04 0000  268.155295  2.415431  115.254778  24.968426
2016 06 05 0000  268.148579  2.415679  115.210449  24.968492
2016 06 06 0000  268.141761  2.415922  115.166347  24.968566
2016 06 07 0000  268.134849  2.416161  115.122476  24.968640
2016 06 08 0000  268.127853  2.416395  115.078838  24.968708
2016 06 09 0000  268.120779  2.416625  115.035437  24.968764
2016 06 10 0000  268.113631  2.416849  114.992275  24.968809
2016 06 11 0000  268.106409  2.417069  114.949355  24.968842
